"year_","total_sales","cumulative_sales","yearly_percenteage","cumulative_percentage"
"2020","4931073.81","4931073.81","32.9098785888525501","32.9098785888525501"
"2021","10052493.50","14983567.31","67.0901214111474499","100.0000000000000000"
