"master_id","last_order_date","time_since_last_order"
"1d92f43e-8c68-11ea-8f41-000d3a38a36f","2020-06-01","1 year 8 days"
"1f18ae3c-9daa-11e9-9897-000d3a38a36f","2020-06-02","1 year 7 days"
"b16f8cba-e15c-11e9-957d-000d3a38a36f","2020-06-02","1 year 7 days"
"087cb3de-12cc-11ea-a001-000d3a38a36f","2020-06-02","1 year 7 days"
"41a97926-b16f-11e9-89fa-000d3a38a36f","2020-06-02","1 year 7 days"
"4510fad2-b05a-11e9-9757-000d3a38a36f","2020-06-02","1 year 7 days"
"714e91ba-45f9-11ea-a691-000d3a38a36f","2020-06-02","1 year 7 days"
"3c1db156-994b-11ea-b97a-000d3a38a36f","2020-06-02","1 year 7 days"
"42f39784-b0c1-11e9-9757-000d3a38a36f","2020-06-02","1 year 7 days"
"103ab9d6-2857-11ea-b87a-000d3a38a36f","2020-06-02","1 year 7 days"
"d3802e26-abb1-11e9-a2fc-000d3a38a36f","2020-06-02","1 year 7 days"
"d09061fc-15e4-11ea-aa74-000d3a38a36f","2020-06-02","1 year 7 days"
"2e3d4fe0-9e4e-11e9-9897-000d3a38a36f","2020-06-02","1 year 7 days"
"a9527430-2c51-11ea-b752-000d3a38a36f","2020-06-02","1 year 7 days"
"b624f67e-a72c-11e9-a2fc-000d3a38a36f","2020-06-02","1 year 7 days"
"184f4018-1175-11ea-9f3a-000d3a38a36f","2020-06-02","1 year 7 days"
"b626041c-5431-11ea-b1db-000d3a38a36f","2020-06-02","1 year 7 days"
"42d7d328-f8bf-11e9-b138-000d3a38a36f","2020-06-02","1 year 7 days"
"d6ff50e6-a813-11e9-a2fc-000d3a38a36f","2020-06-02","1 year 7 days"
"0868eeba-af5a-11e9-a2fc-000d3a38a36f","2020-06-02","1 year 7 days"
"e4c43328-a718-11e9-a2fc-000d3a38a36f","2020-06-02","1 year 7 days"
"e51ec2b4-b16f-11e9-89fa-000d3a38a36f","2020-06-02","1 year 7 days"
"08d8541a-fd81-11e9-a5e8-000d3a38a36f","2020-06-02","1 year 7 days"
"bb2914b0-d62b-11e9-93bc-000d3a38a36f","2020-06-02","1 year 7 days"
"4bbac326-3094-11ea-a6ce-000d3a38a36f","2020-06-02","1 year 7 days"
"b30721a8-5b52-11ea-b544-000d3a38a36f","2020-06-02","1 year 7 days"
"5719059a-ad11-11e9-a2fc-000d3a38a36f","2020-06-02","1 year 7 days"
"a6f88846-b046-11e9-9757-000d3a38a36f","2020-06-02","1 year 7 days"
"e49e6a12-b00f-11e9-9757-000d3a38a36f","2020-06-02","1 year 7 days"
"9b49e8e8-9ef6-11e9-9897-000d3a38a36f","2020-06-03","1 year 6 days"
"dfbade48-afbc-11e9-9757-000d3a38a36f","2020-06-03","1 year 6 days"
"f24bd11a-5b0c-11ea-ad5e-000d3a38a36f","2020-06-03","1 year 6 days"
"fae66580-8855-11ea-9c02-000d3a38a36f","2020-06-03","1 year 6 days"
"fa4234e0-1ca0-11ea-a490-000d3a38a36f","2020-06-03","1 year 6 days"
"2ae7d10e-fd48-11e9-a5e8-000d3a38a36f","2020-06-03","1 year 6 days"
"03930d32-2eb5-11ea-97cb-000d3a38a36f","2020-06-03","1 year 6 days"
"9a8fbf9c-a7af-11e9-a2fc-000d3a38a36f","2020-06-03","1 year 6 days"
"b8e5713e-4bca-11ea-a626-000d3a38a36f","2020-06-03","1 year 6 days"
"46843f02-639f-11ea-a6dc-000d3a38a36f","2020-06-03","1 year 6 days"
"37cca20e-ab4b-11e9-a2fc-000d3a38a36f","2020-06-03","1 year 6 days"
"bcd241f4-a478-11e9-a2fc-000d3a38a36f","2020-06-03","1 year 6 days"
"a92e8728-f141-11e9-9346-000d3a38a36f","2020-06-03","1 year 6 days"
"5ed5f9b0-2bc8-11ea-91ab-000d3a38a36f","2020-06-03","1 year 6 days"
"74b99c7a-5bf0-11ea-99d9-000d3a38a36f","2020-06-03","1 year 6 days"
"894ee134-b1ed-11e9-89fa-000d3a38a36f","2020-06-03","1 year 6 days"
"48aef838-b118-11e9-9757-000d3a38a36f","2020-06-03","1 year 6 days"
"56288534-f3d9-11e9-9346-000d3a38a36f","2020-06-03","1 year 6 days"
"3e92f0ce-22e8-11ea-8523-000d3a38a36f","2020-06-03","1 year 6 days"
"b094d894-2c12-11ea-91ab-000d3a38a36f","2020-06-03","1 year 6 days"
"c1b04c72-6b81-11ea-9c62-000d3a38a36f","2020-06-03","1 year 6 days"
"6cd0f332-5b41-11ea-ac85-000d3a38a36f","2020-06-03","1 year 6 days"
"4514d9da-3ac1-11ea-835a-000d3a38a36f","2020-06-03","1 year 6 days"
"7abedd3a-264c-11ea-8e1c-000d3a38a36f","2020-06-03","1 year 6 days"
"5fe1e444-a8e8-11e9-a2fc-000d3a38a36f","2020-06-03","1 year 6 days"
"5e19c78e-a1a5-11e9-a2fc-000d3a38a36f","2020-06-03","1 year 6 days"
"bf2e6144-247f-11ea-a30f-000d3a38a36f","2020-06-03","1 year 6 days"
"fccf2a48-5453-11ea-b1db-000d3a38a36f","2020-06-03","1 year 6 days"
"94568a44-ee08-11e9-9346-000d3a38a36f","2020-06-03","1 year 6 days"
"d5b3de88-4fab-11ea-99ba-000d3a38a36f","2020-06-03","1 year 6 days"
"648b29d6-d720-11e9-93bc-000d3a38a36f","2020-06-03","1 year 6 days"
"6f1213d8-982c-11ea-9d91-000d3a38a36f","2020-06-03","1 year 6 days"
"6e5f9914-5331-11ea-acd3-000d3a38a36f","2020-06-04","1 year 5 days"
"66e7d2c8-d63b-11e9-93bc-000d3a38a36f","2020-06-04","1 year 5 days"
"290893a8-afe8-11e9-9757-000d3a38a36f","2020-06-04","1 year 5 days"
"215b7538-1944-11ea-b6a2-000d3a38a36f","2020-06-04","1 year 5 days"
"56024e8c-18d7-11ea-9213-000d3a38a36f","2020-06-04","1 year 5 days"
"01d5156e-51f9-11ea-a243-000d3a38a36f","2020-06-04","1 year 5 days"
"9e77c348-4c87-11ea-a626-000d3a38a36f","2020-06-04","1 year 5 days"
"4fd53df6-252c-11ea-bf27-000d3a38a36f","2020-06-04","1 year 5 days"
"eb74d11e-8cb9-11ea-8f41-000d3a38a36f","2020-06-04","1 year 5 days"
"4c12917a-d697-11e9-93bc-000d3a38a36f","2020-06-04","1 year 5 days"
"442c963c-15e8-11ea-aa74-000d3a38a36f","2020-06-04","1 year 5 days"
"2e074d94-a562-11e9-a2fc-000d3a38a36f","2020-06-04","1 year 5 days"
"ce9fd4d2-1255-11ea-a001-000d3a38a36f","2020-06-04","1 year 5 days"
"30fee744-ac03-11e9-a2fc-000d3a38a36f","2020-06-04","1 year 5 days"
"d804782c-fe4e-11e9-a5e8-000d3a38a36f","2020-06-04","1 year 5 days"
"b79dd498-a52f-11e9-a2fc-000d3a38a36f","2020-06-04","1 year 5 days"
"04c7f1f4-a3aa-11e9-a2fc-000d3a38a36f","2020-06-04","1 year 5 days"
"245e0b52-3e3c-11ea-b1ad-000d3a38a36f","2020-06-04","1 year 5 days"
"62136cae-ae12-11e9-a2fc-000d3a38a36f","2020-06-04","1 year 5 days"
"e8c84d0a-192e-11ea-b6a2-000d3a38a36f","2020-06-04","1 year 5 days"
"00263f1a-210a-11ea-b50a-000d3a38a36f","2020-06-04","1 year 5 days"
"c4556572-1837-11ea-9213-000d3a38a36f","2020-06-04","1 year 5 days"
"02a59d28-aa20-11e9-a2fc-000d3a38a36f","2020-06-04","1 year 5 days"
"28692168-4a04-11ea-b0b1-000d3a38a36f","2020-06-04","1 year 5 days"
"5fa954e8-ae7a-11e9-a2fc-000d3a38a36f","2020-06-04","1 year 5 days"
"42aa1e96-a500-11e9-a2fc-000d3a38a36f","2020-06-04","1 year 5 days"
"0bbee1a8-abb0-11e9-a2fc-000d3a38a36f","2020-06-04","1 year 5 days"
"b49613e6-a7d7-11e9-a2fc-000d3a38a36f","2020-06-04","1 year 5 days"
"65e8b438-1334-11ea-a001-000d3a38a36f","2020-06-04","1 year 5 days"
"72c7fc50-22c9-11ea-8523-000d3a38a36f","2020-06-04","1 year 5 days"
"9ca41b64-94c8-11ea-85df-000d3a38a36f","2020-06-04","1 year 5 days"
"0f4c8b74-5b12-11ea-b524-000d3a38a36f","2020-06-05","1 year 4 days"
"6eec9da2-3d4a-11ea-9e19-000d3a38a36f","2020-06-05","1 year 4 days"
"6a8a8408-ee09-11e9-9346-000d3a38a36f","2020-06-05","1 year 4 days"
"314468e8-21c2-11ea-9618-000d3a38a36f","2020-06-05","1 year 4 days"
"fcfe9104-abe6-11e9-a2fc-000d3a38a36f","2020-06-05","1 year 4 days"
"207fd1d2-1268-11ea-a001-000d3a38a36f","2020-06-05","1 year 4 days"
"bc928b54-a29d-11e9-a2fc-000d3a38a36f","2020-06-05","1 year 4 days"
"1c01674e-9fc0-11e9-a2fc-000d3a38a36f","2020-06-05","1 year 4 days"
"f8a9fbf4-d60f-11e9-93bc-000d3a38a36f","2020-06-05","1 year 4 days"
"ae557c64-5b29-11ea-b304-000d3a38a36f","2020-06-05","1 year 4 days"
"51401858-f13f-11e9-9346-000d3a38a36f","2020-06-05","1 year 4 days"
"7ae524ba-9f3b-11e9-9897-000d3a38a36f","2020-06-05","1 year 4 days"
"e4c8cfd0-f3be-11e9-9346-000d3a38a36f","2020-06-05","1 year 4 days"
"0eadb150-706d-11ea-8369-000d3a38a36f","2020-06-05","1 year 4 days"
"3520bd1a-aeca-11e9-a2fc-000d3a38a36f","2020-06-05","1 year 4 days"
"4b82fcf6-a463-11e9-a2fc-000d3a38a36f","2020-06-05","1 year 4 days"
"206fff5c-127f-11ea-a001-000d3a38a36f","2020-06-05","1 year 4 days"
"ec486230-9db4-11e9-9897-000d3a38a36f","2020-06-05","1 year 4 days"
"9f22af04-50d5-11ea-99ba-000d3a38a36f","2020-06-05","1 year 4 days"
"2827f9c8-f27e-11e9-9346-000d3a38a36f","2020-06-05","1 year 4 days"
"4a4725ba-9e55-11e9-9897-000d3a38a36f","2020-06-05","1 year 4 days"
"f174abea-ab21-11e9-a2fc-000d3a38a36f","2020-06-05","1 year 4 days"
"79478fb2-543f-11ea-b1db-000d3a38a36f","2020-06-05","1 year 4 days"
"a2565d7a-a94f-11e9-a2fc-000d3a38a36f","2020-06-05","1 year 4 days"
"4fae11c6-a38c-11e9-a2fc-000d3a38a36f","2020-06-06","1 year 3 days"
"4c78b014-ac70-11e9-a2fc-000d3a38a36f","2020-06-06","1 year 3 days"
"1fde254c-a45b-11e9-a2fc-000d3a38a36f","2020-06-06","1 year 3 days"
"4da72b56-a576-11e9-a2fc-000d3a38a36f","2020-06-06","1 year 3 days"
"c960883a-5b0d-11ea-8a6b-000d3a38a36f","2020-06-06","1 year 3 days"
"b9f5a25a-2e70-11ea-b1e2-000d3a38a36f","2020-06-06","1 year 3 days"
"52cc480c-7a85-11ea-8f20-000d3a38a36f","2020-06-06","1 year 3 days"
"7bea940e-b006-11e9-9757-000d3a38a36f","2020-06-06","1 year 3 days"
"8bb1b08c-ff27-11e9-a5e8-000d3a38a36f","2020-06-06","1 year 3 days"
"42bed146-1f18-11ea-87bf-000d3a38a36f","2020-06-06","1 year 3 days"
"0033f078-7359-11ea-92d0-000d3a38a36f","2020-06-06","1 year 3 days"
"062299c4-9dfa-11e9-9897-000d3a38a36f","2020-06-06","1 year 3 days"
"85a17f5e-a853-11e9-a2fc-000d3a38a36f","2020-06-06","1 year 3 days"
"7dcfe3aa-6384-11ea-a6dc-000d3a38a36f","2020-06-06","1 year 3 days"
"83ec9de4-85dc-11ea-a90b-000d3a38a36f","2020-06-06","1 year 3 days"
"0e6ad7b0-fa73-11e9-b138-000d3a38a36f","2020-06-06","1 year 3 days"
"e8ade824-8ab8-11ea-8ec0-000d3a38a36f","2020-06-06","1 year 3 days"
"e1e580ec-a738-11e9-a2fc-000d3a38a36f","2020-06-06","1 year 3 days"
"d04cd856-aa91-11e9-a2fc-000d3a38a36f","2020-06-06","1 year 3 days"
"ef9883ce-11fa-11ea-916f-000d3a38a36f","2020-06-06","1 year 3 days"
"8d3431e0-afdc-11e9-9757-000d3a38a36f","2020-06-06","1 year 3 days"
"5458e3ba-568b-11ea-b9b9-000d3a38a36f","2020-06-06","1 year 3 days"
"67e964e2-a8b5-11e9-a2fc-000d3a38a36f","2020-06-06","1 year 3 days"
"91656cbc-62c3-11ea-9861-000d3a38a36f","2020-06-06","1 year 3 days"
"1301b3ae-0142-11ea-a5e8-000d3a38a36f","2020-06-06","1 year 3 days"
"8435a372-5bed-11ea-a7b7-000d3a38a36f","2020-06-06","1 year 3 days"
"dffe81ee-3931-11ea-85d6-000d3a38a36f","2020-06-06","1 year 3 days"
"3d9d1f86-f4f9-11e9-9346-000d3a38a36f","2020-06-06","1 year 3 days"
"b50ba80e-9ea9-11e9-9897-000d3a38a36f","2020-06-06","1 year 3 days"
"175b9f9a-5b11-11ea-a942-000d3a38a36f","2020-06-06","1 year 3 days"
"cfe01b90-aad6-11e9-a2fc-000d3a38a36f","2020-06-06","1 year 3 days"
"705edae8-2bce-11ea-91ab-000d3a38a36f","2020-06-06","1 year 3 days"
"740998d2-b1f7-11e9-89fa-000d3a38a36f","2020-06-06","1 year 3 days"
"7dbba81c-7dbb-11ea-80af-000d3a38a36f","2020-06-07","1 year 2 days"
"4f8be590-1acb-11ea-98d5-000d3a38a36f","2020-06-07","1 year 2 days"
"125e00b0-a8e6-11e9-a2fc-000d3a38a36f","2020-06-07","1 year 2 days"
"d2cee8dc-9f09-11e9-9897-000d3a38a36f","2020-06-07","1 year 2 days"
"f9a2ec9c-a5a8-11e9-a2fc-000d3a38a36f","2020-06-07","1 year 2 days"
"23d66d86-9d39-11e9-9897-000d3a38a36f","2020-06-07","1 year 2 days"
"e0c85bce-1f94-11ea-87bf-000d3a38a36f","2020-06-07","1 year 2 days"
"6493e79a-3d93-11ea-9e19-000d3a38a36f","2020-06-07","1 year 2 days"
"2fe4d0ba-9764-11ea-a9c8-000d3a38a36f","2020-06-07","1 year 2 days"
"9740b2a6-acdc-11e9-a2fc-000d3a38a36f","2020-06-07","1 year 2 days"
"f7b09f72-d723-11e9-93bc-000d3a38a36f","2020-06-07","1 year 2 days"
"71862b1a-afe1-11e9-9757-000d3a38a36f","2020-06-07","1 year 2 days"
"7d69a1ae-2d4b-11ea-827e-000d3a38a36f","2020-06-07","1 year 2 days"
"750b19a2-2ba2-11ea-853d-000d3a38a36f","2020-06-07","1 year 2 days"
"25fcf2dc-b1a3-11e9-89fa-000d3a38a36f","2020-06-07","1 year 2 days"
"14c9d942-876a-11ea-ace9-000d3a38a36f","2020-06-07","1 year 2 days"
"356602a6-2276-11ea-8523-000d3a38a36f","2020-06-07","1 year 2 days"
"397596c8-475f-11ea-b6c0-000d3a38a36f","2020-06-07","1 year 2 days"
"cafec750-75b7-11ea-b23f-000d3a38a36f","2020-06-07","1 year 2 days"
"fa35390e-4b7e-11ea-a626-000d3a38a36f","2020-06-07","1 year 2 days"
"117526ba-98be-11ea-b97a-000d3a38a36f","2020-06-07","1 year 2 days"
"f5926344-a832-11e9-a2fc-000d3a38a36f","2020-06-07","1 year 2 days"
"b3ea4dcc-a1f6-11e9-a2fc-000d3a38a36f","2020-06-07","1 year 2 days"
"62d0d858-af79-11e9-a2fc-000d3a38a36f","2020-06-07","1 year 2 days"
"bfcdad7a-9f9c-11e9-a2fc-000d3a38a36f","2020-06-07","1 year 2 days"
"d5fd76ae-afe4-11e9-9757-000d3a38a36f","2020-06-08","1 year 1 day"
"60081ae4-dee2-11e9-957d-000d3a38a36f","2020-06-08","1 year 1 day"
"2b0802d4-9e6c-11e9-9897-000d3a38a36f","2020-06-08","1 year 1 day"
"b0c7e97a-ddcd-11e9-a848-000d3a38a36f","2020-06-08","1 year 1 day"
"ec7528dc-8c9d-11ea-8f41-000d3a38a36f","2020-06-08","1 year 1 day"
"6bbad8c4-1d4c-11ea-a490-000d3a38a36f","2020-06-08","1 year 1 day"
"250d73c8-b10e-11e9-9757-000d3a38a36f","2020-06-08","1 year 1 day"
"5328d1ae-9d67-11e9-9897-000d3a38a36f","2020-06-08","1 year 1 day"
"8c7b0b10-5bae-11ea-af09-000d3a38a36f","2020-06-08","1 year 1 day"
"a80759b8-9e50-11e9-9897-000d3a38a36f","2020-06-08","1 year 1 day"
"5d73fb9c-13ce-11ea-a001-000d3a38a36f","2020-06-08","1 year 1 day"
"2e14d93a-1a44-11ea-941b-000d3a38a36f","2020-06-08","1 year 1 day"
"e9f5b1ec-18f5-11ea-9213-000d3a38a36f","2020-06-08","1 year 1 day"
"1d78e61e-f8c7-11e9-b138-000d3a38a36f","2020-06-08","1 year 1 day"
"f3e5a590-112a-11ea-8872-000d3a38a36f","2020-06-08","1 year 1 day"
"fad46d76-ad09-11e9-a2fc-000d3a38a36f","2020-06-08","1 year 1 day"
"9303cbc0-1a4f-11ea-941b-000d3a38a36f","2020-06-08","1 year 1 day"
"af177f78-a290-11e9-a2fc-000d3a38a36f","2020-06-08","1 year 1 day"
"adb388cc-a135-11e9-a2fc-000d3a38a36f","2020-06-08","1 year 1 day"
"af34b4b4-a9be-11e9-a2fc-000d3a38a36f","2020-06-08","1 year 1 day"
"07557fcc-f12a-11e9-9346-000d3a38a36f","2020-06-08","1 year 1 day"
"41351cf8-b0fb-11e9-9757-000d3a38a36f","2020-06-08","1 year 1 day"
"1d8e23e4-5b2d-11ea-b4ae-000d3a38a36f","2020-06-08","1 year 1 day"
"1e5805be-a99a-11e9-a2fc-000d3a38a36f","2020-06-08","1 year 1 day"
"98f16fc6-ddb7-11e9-9cd3-000d3a38a36f","2020-06-08","1 year 1 day"
"ddb90058-15e6-11ea-aa74-000d3a38a36f","2020-06-08","1 year 1 day"
"9350d0b8-a7ff-11e9-a2fc-000d3a38a36f","2020-06-08","1 year 1 day"
"56b537c6-7e77-11ea-80af-000d3a38a36f","2020-06-08","1 year 1 day"
"801406f6-af65-11e9-a2fc-000d3a38a36f","2020-06-09","1 year"
"bd68076c-107e-11ea-8ce6-000d3a38a36f","2020-06-09","1 year"
"48178b6e-b182-11e9-89fa-000d3a38a36f","2020-06-09","1 year"
"35e9ddf0-a45f-11e9-a2fc-000d3a38a36f","2020-06-09","1 year"
"9c02999c-ee06-11e9-9346-000d3a38a36f","2020-06-09","1 year"
"e3496502-5016-11ea-99ba-000d3a38a36f","2020-06-09","1 year"
"7fe68252-ad31-11e9-a2fc-000d3a38a36f","2020-06-09","1 year"
"a67cf028-a560-11e9-a2fc-000d3a38a36f","2020-06-09","1 year"
"2ab5a078-ac38-11e9-a2fc-000d3a38a36f","2020-06-09","1 year"
"3d5771ae-a713-11e9-a2fc-000d3a38a36f","2020-06-09","1 year"
"7a5bbafc-df89-11e9-957d-000d3a38a36f","2020-06-09","1 year"
"71251790-ac57-11e9-a2fc-000d3a38a36f","2020-06-09","1 year"
"dac32bc4-a5a9-11e9-a2fc-000d3a38a36f","2020-06-09","1 year"
"fc2a24ae-b1d7-11e9-89fa-000d3a38a36f","2020-06-09","1 year"
"f2585556-a2cb-11e9-a2fc-000d3a38a36f","2020-06-09","1 year"
"473f9476-250d-11ea-bf27-000d3a38a36f","2020-06-09","1 year"
"f3f833e6-4ecd-11ea-99ba-000d3a38a36f","2020-06-09","1 year"
"54cef984-1f94-11ea-87bf-000d3a38a36f","2020-06-09","1 year"
"fd850916-3ec4-11ea-b794-000d3a38a36f","2020-06-09","1 year"
"f374c524-9f82-11e9-a2fc-000d3a38a36f","2020-06-09","1 year"
"957f8916-a12d-11e9-a2fc-000d3a38a36f","2020-06-09","1 year"
"aad65ff0-1e06-11ea-8bf2-000d3a38a36f","2020-06-09","1 year"
"01d4c0ba-b3bf-11e9-a043-000d3a38a36f","2020-06-09","1 year"
"d1d9512c-5bee-11ea-b9a7-000d3a38a36f","2020-06-09","1 year"
"6500c664-4ee9-11ea-99ba-000d3a38a36f","2020-06-10","11 mons 29 days"
"23577e58-edf3-11e9-9346-000d3a38a36f","2020-06-10","11 mons 29 days"
"0e370b94-d60e-11e9-93bc-000d3a38a36f","2020-06-10","11 mons 29 days"
"319a014c-d6c0-11e9-93bc-000d3a38a36f","2020-06-10","11 mons 29 days"
"5c3e630c-00b9-11ea-a5e8-000d3a38a36f","2020-06-10","11 mons 29 days"
"809a86a2-acba-11e9-a2fc-000d3a38a36f","2020-06-10","11 mons 29 days"
"0185f454-2614-11ea-8e1c-000d3a38a36f","2020-06-10","11 mons 29 days"
"47d7f524-9eab-11e9-9897-000d3a38a36f","2020-06-10","11 mons 29 days"
"6f1c029c-b0d5-11e9-9757-000d3a38a36f","2020-06-10","11 mons 29 days"
"ad324594-af65-11e9-a2fc-000d3a38a36f","2020-06-10","11 mons 29 days"
"91168caa-9b80-11ea-a27a-000d3a38a36f","2020-06-10","11 mons 29 days"
"05269b74-72ed-11ea-92d0-000d3a38a36f","2020-06-10","11 mons 29 days"
"3289dd62-dde5-11e9-a848-000d3a38a36f","2020-06-10","11 mons 29 days"
"ee5a9e74-a833-11e9-a2fc-000d3a38a36f","2020-06-10","11 mons 29 days"
"eb66ea02-26f4-11ea-aaaa-000d3a38a36f","2020-06-10","11 mons 29 days"
"0c0e8954-241b-11ea-a30f-000d3a38a36f","2020-06-10","11 mons 29 days"
"0bcd41f6-f842-11e9-b138-000d3a38a36f","2020-06-10","11 mons 29 days"
"a4800dda-f8a5-11e9-b138-000d3a38a36f","2020-06-10","11 mons 29 days"
