"master_id","last_order_date"
"241f0ad0-afb5-11e9-9757-000d3a38a36f","2021-05-30"
"9613613c-c9d0-11ea-a31e-000d3a38a36f","2021-05-30"
"d4fdf864-2852-11ea-b87a-000d3a38a36f","2021-05-30"
"62b2a42a-2a74-11ea-b3a7-000d3a38a36f","2021-05-30"
"242b3510-2ba4-11ea-853d-000d3a38a36f","2021-05-30"
"87842f2e-5b27-11ea-866a-000d3a38a36f","2021-05-30"
"afe53a32-30e6-11ea-b162-000d3a38a36f","2021-05-30"
"2e00f870-12e2-11ea-a001-000d3a38a36f","2021-05-30"
"a00fb874-7516-11eb-afbc-000d3a38a36f","2021-05-30"
"603c6486-648c-11ea-a507-000d3a38a36f","2021-05-30"
"9b24334e-4344-11ea-8b43-000d3a38a36f","2021-05-30"
"46973c7e-e20c-11ea-a8ec-000d3a38a36f","2021-05-30"
"3311ca8a-543f-11ea-b1db-000d3a38a36f","2021-05-30"
"6deee280-afc3-11e9-9757-000d3a38a36f","2021-05-30"
"9480650e-a23a-11e9-a2fc-000d3a38a36f","2021-05-30"
"4ca1591c-a6b5-11e9-a2fc-000d3a38a36f","2021-05-30"
"46aa560a-1fe9-11ea-87bf-000d3a38a36f","2021-05-30"
"d7f60198-ae1c-11e9-a2fc-000d3a38a36f","2021-05-30"
"2ec16fbe-b154-11e9-9757-000d3a38a36f","2021-05-30"
"cbddd8a8-a756-11e9-a2fc-000d3a38a36f","2021-05-30"
"a53e5686-a554-11e9-a2fc-000d3a38a36f","2021-05-30"
"53c60586-e1f0-11ea-b5cd-000d3a38a36f","2021-05-30"
"9de867fe-c4e4-11ea-98f7-000d3a38a36f","2021-05-30"
"1c90cee8-5c02-11eb-8dbd-000d3a38a36f","2021-05-30"
"2d94d3ee-2be1-11ea-91ab-000d3a38a36f","2021-05-30"
"927a71c4-a8b5-11e9-a2fc-000d3a38a36f","2021-05-30"
"07d80f42-a8cc-11e9-a2fc-000d3a38a36f","2021-05-30"
"ebb58b5a-4519-11eb-806e-000d3a38a36f","2021-05-30"
"f6036cfa-1ec6-11ea-aa32-000d3a38a36f","2021-05-30"
"f546b86e-9ecc-11e9-9897-000d3a38a36f","2021-05-30"
"177f5fa2-1ec1-11ea-aa32-000d3a38a36f","2021-05-30"
"3e60d88c-ac55-11e9-a2fc-000d3a38a36f","2021-05-30"
"5343dc7e-9eca-11e9-9897-000d3a38a36f","2021-05-30"
"618c9edc-9e5d-11e9-9897-000d3a38a36f","2021-05-30"
"33b5e34a-a2f6-11e9-a2fc-000d3a38a36f","2021-05-30"
"7708dc58-aa33-11e9-a2fc-000d3a38a36f","2021-05-30"
"652dd35a-74ca-11ea-92d0-000d3a38a36f","2021-05-30"
"71b49f78-a5b3-11e9-a2fc-000d3a38a36f","2021-05-30"
"9378a8e6-ab23-11e9-a2fc-000d3a38a36f","2021-05-30"
"ab06e378-a36d-11e9-a2fc-000d3a38a36f","2021-05-30"
"c6284e6a-ac98-11e9-a2fc-000d3a38a36f","2021-05-30"
"ff7470ea-adba-11e9-a2fc-000d3a38a36f","2021-05-30"
"ecee5586-aa8f-11e9-a2fc-000d3a38a36f","2021-05-30"
"7a1e133e-a4b3-11e9-a2fc-000d3a38a36f","2021-05-30"
