"last_order_channel","master_id","total_value"
"Desktop","5d1c466a-9cfd-11e9-9897-000d3a38a36f","45905.10"
"Android App","d5ef8058-a5c6-11e9-a2fc-000d3a38a36f","36818.29"
"Offline","73fd19aa-9e37-11e9-9897-000d3a38a36f","33918.10"
"Ios App","d696c654-2633-11ea-8e1c-000d3a38a36f","16918.57"
"Mobile","f7e2335e-a7c4-11e9-a2fc-000d3a38a36f","7953.47"
