"interested_in_categories_12","year_month","total_sales","rolling_3_month_sales"
"[ERKEK, COCUK, KADIN, AKTIFSPOR]","2020-09-01 00:00:00+01","5752.35","10149.69"
"[ERKEK, COCUK, KADIN, AKTIFSPOR]","2020-10-01 00:00:00+01","17314.78","23530.08"
"[ERKEK, COCUK, KADIN, AKTIFSPOR]","2020-11-01 00:00:00+00","13435.32","36502.45"
"[ERKEK, COCUK, KADIN, AKTIFSPOR]","2020-12-01 00:00:00+00","27647.44","58397.54"
"[ERKEK, COCUK, KADIN, AKTIFSPOR]","2021-01-01 00:00:00+00","21506.92","62589.68"
"[ERKEK, COCUK, KADIN, AKTIFSPOR]","2021-02-01 00:00:00+00","27790.87","76945.23"
"[ERKEK, COCUK, KADIN, AKTIFSPOR]","2021-03-01 00:00:00+00","40956.61","90254.40"
"[ERKEK, COCUK, KADIN, AKTIFSPOR]","2021-04-01 00:00:00+01","57118.11","125865.59"
"[ERKEK, COCUK, KADIN, AKTIFSPOR]","2021-05-01 00:00:00+01","132248.37","230323.09"
"[ERKEK, COCUK, KADIN]","2020-05-01 00:00:00+01","331.69","331.69"
"[ERKEK, COCUK, KADIN]","2020-06-01 00:00:00+01","4305.04","4636.73"
"[ERKEK, COCUK, KADIN]","2020-07-01 00:00:00+01","11757.91","16394.64"
"[ERKEK, COCUK, KADIN]","2020-08-01 00:00:00+01","6913.30","22976.25"
"[ERKEK, COCUK, KADIN]","2020-09-01 00:00:00+01","10421.59","29092.80"
"[ERKEK, COCUK, KADIN]","2020-10-01 00:00:00+01","7575.97","24910.86"
"[ERKEK, COCUK, KADIN]","2020-11-01 00:00:00+00","18738.01","36735.57"
"[ERKEK, COCUK, KADIN]","2020-12-01 00:00:00+00","10532.51","36846.49"
"[ERKEK, COCUK, KADIN]","2021-01-01 00:00:00+00","16367.73","45638.25"
"[ERKEK, COCUK, KADIN]","2021-02-01 00:00:00+00","18066.33","44966.57"
"[ERKEK, COCUK, KADIN]","2021-03-01 00:00:00+00","19824.53","54258.59"
"[ERKEK, COCUK, KADIN]","2021-04-01 00:00:00+01","23191.92","61082.78"
"[ERKEK, COCUK, KADIN]","2021-05-01 00:00:00+01","33426.82","76443.27"
"[ERKEK, COCUK]","2020-06-01 00:00:00+01","4258.64","4258.64"
"[ERKEK, COCUK]","2020-07-01 00:00:00+01","5790.36","10049.00"
"[ERKEK, COCUK]","2020-08-01 00:00:00+01","2754.47","12803.47"
"[ERKEK, COCUK]","2020-09-01 00:00:00+01","4558.41","13103.24"
"[ERKEK, COCUK]","2020-10-01 00:00:00+01","4894.06","12206.94"
"[ERKEK, COCUK]","2020-11-01 00:00:00+00","16848.69","26301.16"
"[ERKEK, COCUK]","2020-12-01 00:00:00+00","13747.17","35489.92"
"[ERKEK, COCUK]","2021-01-01 00:00:00+00","16134.36","46730.22"
"[ERKEK, COCUK]","2021-02-01 00:00:00+00","10085.46","39966.99"
"[ERKEK, COCUK]","2021-03-01 00:00:00+00","16740.97","42960.79"
"[ERKEK, COCUK]","2021-04-01 00:00:00+01","17519.83","44346.26"
"[ERKEK, COCUK]","2021-05-01 00:00:00+01","30864.07","65124.87"
"[ERKEK, KADIN, AKTIFSPOR]","2020-06-01 00:00:00+01","20924.54","20924.54"
"[ERKEK, KADIN, AKTIFSPOR]","2020-07-01 00:00:00+01","17542.96","38467.50"
"[ERKEK, KADIN, AKTIFSPOR]","2020-08-01 00:00:00+01","15392.01","53859.51"
"[ERKEK, KADIN, AKTIFSPOR]","2020-09-01 00:00:00+01","29299.80","62234.77"
"[ERKEK, KADIN, AKTIFSPOR]","2020-10-01 00:00:00+01","21415.50","66107.31"
"[ERKEK, KADIN, AKTIFSPOR]","2020-11-01 00:00:00+00","70662.62","121377.92"
"[ERKEK, KADIN, AKTIFSPOR]","2020-12-01 00:00:00+00","62882.48","154960.60"
"[ERKEK, KADIN, AKTIFSPOR]","2021-01-01 00:00:00+00","78774.59","212319.69"
"[ERKEK, KADIN, AKTIFSPOR]","2021-02-01 00:00:00+00","114109.56","255766.63"
"[ERKEK, KADIN, AKTIFSPOR]","2021-03-01 00:00:00+00","111908.98","304793.13"
"[ERKEK, KADIN, AKTIFSPOR]","2021-04-01 00:00:00+01","175343.38","401361.92"
"[ERKEK, KADIN, AKTIFSPOR]","2021-05-01 00:00:00+01","223130.09","510382.45"
"[ERKEK, KADIN]","2020-05-01 00:00:00+01","1711.26","1711.26"
"[ERKEK, KADIN]","2020-06-01 00:00:00+01","21328.16","23039.42"
"[ERKEK, KADIN]","2020-07-01 00:00:00+01","50178.37","73217.79"
"[ERKEK, KADIN]","2020-08-01 00:00:00+01","21782.29","93288.82"
"[ERKEK, KADIN]","2020-09-01 00:00:00+01","21190.56","93151.22"
"[ERKEK, KADIN]","2020-10-01 00:00:00+01","25179.94","68152.79"
"[ERKEK, KADIN]","2020-11-01 00:00:00+00","81265.28","127635.78"
"[ERKEK, KADIN]","2020-12-01 00:00:00+00","54133.00","160578.22"
"[ERKEK, KADIN]","2021-01-01 00:00:00+00","49593.94","184992.22"
"[ERKEK, KADIN]","2021-02-01 00:00:00+00","55345.22","159072.16"
"[ERKEK, KADIN]","2021-03-01 00:00:00+00","46764.22","151703.38"
"[ERKEK, KADIN]","2021-04-01 00:00:00+01","81395.96","183505.40"
"[ERKEK, KADIN]","2021-05-01 00:00:00+01","114222.70","242382.88"
"[ERKEK]","2020-05-01 00:00:00+01","1947.31","1947.31"
"[ERKEK]","2020-06-01 00:00:00+01","75800.83","77748.14"
"[ERKEK]","2020-07-01 00:00:00+01","80391.58","158139.72"
"[ERKEK]","2020-08-01 00:00:00+01","49005.97","205198.38"
"[ERKEK]","2020-09-01 00:00:00+01","66682.43","196079.98"
"[ERKEK]","2020-10-01 00:00:00+01","45714.35","161402.75"
"[ERKEK]","2020-11-01 00:00:00+00","136939.07","249335.85"
"[ERKEK]","2020-12-01 00:00:00+00","95052.30","277705.72"
"[ERKEK]","2021-01-01 00:00:00+00","76511.80","308503.17"
"[ERKEK]","2021-02-01 00:00:00+00","94217.74","265781.84"
"[ERKEK]","2021-03-01 00:00:00+00","104665.92","275395.46"
"[ERKEK]","2021-04-01 00:00:00+01","100571.09","299454.75"
"[ERKEK]","2021-05-01 00:00:00+01","179434.05","384671.06"
"[KADIN, AKTIFSPOR]","2020-05-01 00:00:00+01","610.93","610.93"
"[KADIN, AKTIFSPOR]","2020-06-01 00:00:00+01","37581.35","38192.28"
"[KADIN, AKTIFSPOR]","2020-07-01 00:00:00+01","53832.06","92024.34"
"[KADIN, AKTIFSPOR]","2020-08-01 00:00:00+01","28878.43","120291.84"
"[KADIN, AKTIFSPOR]","2020-09-01 00:00:00+01","42186.14","124896.63"
"[KADIN, AKTIFSPOR]","2020-10-01 00:00:00+01","52456.55","123521.12"
"[KADIN, AKTIFSPOR]","2020-11-01 00:00:00+00","81761.61","176404.30"
"[KADIN, AKTIFSPOR]","2020-12-01 00:00:00+00","76072.10","210290.26"
"[KADIN, AKTIFSPOR]","2021-01-01 00:00:00+00","85890.10","243723.81"
"[KADIN, AKTIFSPOR]","2021-02-01 00:00:00+00","106735.23","268697.43"
"[KADIN, AKTIFSPOR]","2021-03-01 00:00:00+00","151488.93","344114.26"
"[KADIN, AKTIFSPOR]","2021-04-01 00:00:00+01","170724.57","428948.73"
"[KADIN, AKTIFSPOR]","2021-05-01 00:00:00+01","243831.56","566045.06"
"[KADIN]","2020-05-01 00:00:00+01","3052.07","3052.07"
"[KADIN]","2020-06-01 00:00:00+01","60336.82","63388.89"
"[KADIN]","2020-07-01 00:00:00+01","88211.13","151600.02"
"[KADIN]","2020-08-01 00:00:00+01","62313.47","210861.42"
"[KADIN]","2020-09-01 00:00:00+01","58098.68","208623.28"
"[KADIN]","2020-10-01 00:00:00+01","54798.62","175210.77"
"[KADIN]","2020-11-01 00:00:00+00","104629.17","217526.47"
"[KADIN]","2020-12-01 00:00:00+00","82712.94","242140.73"
"[KADIN]","2021-01-01 00:00:00+00","100498.77","287840.88"
"[KADIN]","2021-02-01 00:00:00+00","82549.79","265761.50"
"[KADIN]","2021-03-01 00:00:00+00","123626.99","306675.55"
"[KADIN]","2021-04-01 00:00:00+01","119230.08","325406.86"
"[KADIN]","2021-05-01 00:00:00+01","199007.49","441864.56"
"[]","2020-06-01 00:00:00+01","1240.67","1240.67"
"[]","2020-07-01 00:00:00+01","1309.46","2550.13"
"[]","2020-08-01 00:00:00+01","3369.84","5919.97"
"[]","2020-09-01 00:00:00+01","13017.97","17697.27"
"[]","2020-10-01 00:00:00+01","24476.40","40864.21"
"[]","2020-11-01 00:00:00+00","44916.29","82410.66"
"[]","2020-12-01 00:00:00+00","34529.39","103922.08"
"[]","2021-01-01 00:00:00+00","51791.24","131236.92"
"[]","2021-02-01 00:00:00+00","71939.41","158260.04"
"[]","2021-03-01 00:00:00+00","134987.89","258718.54"
"[]","2021-04-01 00:00:00+01","271724.32","478651.62"
"[]","2021-05-01 00:00:00+01","483250.67","889962.88"
