"interested_in_categories_12","year_month","total_sales","rolling_3_month_sales"
"[AKTIFCOCUK, COCUK]","2020-10-01 00:00:00+01","13555.35","27056.13"
"[AKTIFCOCUK, COCUK]","2020-11-01 00:00:00+00","15446.19","34979.76"
"[AKTIFCOCUK, COCUK]","2020-12-01 00:00:00+00","16266.61","45268.15"
"[AKTIFCOCUK, COCUK]","2021-01-01 00:00:00+00","18519.12","50231.92"
"[AKTIFCOCUK, COCUK]","2021-02-01 00:00:00+00","19006.93","53792.66"
"[AKTIFCOCUK, COCUK]","2021-03-01 00:00:00+00","27387.97","64914.02"
"[AKTIFCOCUK, COCUK]","2021-04-01 00:00:00+01","25636.85","72031.75"
"[AKTIFCOCUK, COCUK]","2021-05-01 00:00:00+01","48676.52","101701.34"
"[AKTIFCOCUK, ERKEK, AKTIFSPOR]","2020-05-01 00:00:00+01","660.38","660.38"
"[AKTIFCOCUK, ERKEK, AKTIFSPOR]","2020-07-01 00:00:00+01","3273.89","3934.27"
"[AKTIFCOCUK, ERKEK, AKTIFSPOR]","2020-08-01 00:00:00+01","700.91","4635.18"
"[AKTIFCOCUK, ERKEK, AKTIFSPOR]","2020-09-01 00:00:00+01","4632.02","8606.82"
"[AKTIFCOCUK, ERKEK, AKTIFSPOR]","2020-10-01 00:00:00+01","7881.87","13214.80"
"[AKTIFCOCUK, ERKEK, AKTIFSPOR]","2020-11-01 00:00:00+00","14169.32","26683.21"
"[AKTIFCOCUK, ERKEK, AKTIFSPOR]","2020-12-01 00:00:00+00","11063.94","33115.13"
"[AKTIFCOCUK, ERKEK, AKTIFSPOR]","2021-01-01 00:00:00+00","14960.41","40193.67"
"[AKTIFCOCUK, ERKEK, AKTIFSPOR]","2021-02-01 00:00:00+00","15512.65","41537.00"
"[AKTIFCOCUK, ERKEK, AKTIFSPOR]","2021-03-01 00:00:00+00","18179.51","48652.57"
"[AKTIFCOCUK, ERKEK, AKTIFSPOR]","2021-04-01 00:00:00+01","26637.92","60330.08"
"[AKTIFCOCUK, ERKEK, AKTIFSPOR]","2021-05-01 00:00:00+01","49087.95","93905.38"
"[AKTIFCOCUK, ERKEK, COCUK, AKTIFSPOR]","2020-07-01 00:00:00+01","1699.23","1699.23"
"[AKTIFCOCUK, ERKEK, COCUK, AKTIFSPOR]","2020-08-01 00:00:00+01","1658.79","3358.02"
"[AKTIFCOCUK, ERKEK, COCUK, AKTIFSPOR]","2020-09-01 00:00:00+01","931.54","4289.56"
"[AKTIFCOCUK, ERKEK, COCUK, AKTIFSPOR]","2020-10-01 00:00:00+01","11900.27","14490.60"
"[AKTIFCOCUK, ERKEK, COCUK, AKTIFSPOR]","2020-11-01 00:00:00+00","9071.40","21903.21"
"[AKTIFCOCUK, ERKEK, COCUK, AKTIFSPOR]","2020-12-01 00:00:00+00","3089.88","24061.55"
"[AKTIFCOCUK, ERKEK, COCUK, AKTIFSPOR]","2021-01-01 00:00:00+00","18792.65","30953.93"
"[AKTIFCOCUK, ERKEK, COCUK, AKTIFSPOR]","2021-02-01 00:00:00+00","7954.26","29836.79"
"[AKTIFCOCUK, ERKEK, COCUK, AKTIFSPOR]","2021-03-01 00:00:00+00","17832.46","44579.37"
"[AKTIFCOCUK, ERKEK, COCUK, AKTIFSPOR]","2021-04-01 00:00:00+01","46514.26","72300.98"
"[AKTIFCOCUK, ERKEK, COCUK, AKTIFSPOR]","2021-05-01 00:00:00+01","32818.64","97165.36"
"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]","2020-06-01 00:00:00+01","10220.75","10220.75"
"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]","2020-07-01 00:00:00+01","1771.46","11992.21"
"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]","2020-08-01 00:00:00+01","871.06","12863.27"
"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]","2020-09-01 00:00:00+01","2515.99","5158.51"
"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]","2020-10-01 00:00:00+01","14216.93","17603.98"
"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]","2020-11-01 00:00:00+00","33525.30","50258.22"
"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]","2020-12-01 00:00:00+00","18035.20","65777.43"
"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]","2021-01-01 00:00:00+00","31150.50","82711.00"
"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]","2021-02-01 00:00:00+00","34225.65","83411.35"
"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]","2021-03-01 00:00:00+00","67627.18","133003.33"
"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]","2021-04-01 00:00:00+01","131323.62","233176.45"
"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]","2021-05-01 00:00:00+01","133113.86","332064.66"
"[AKTIFCOCUK, ERKEK, COCUK, KADIN]","2020-06-01 00:00:00+01","836.60","836.60"
"[AKTIFCOCUK, ERKEK, COCUK, KADIN]","2020-07-01 00:00:00+01","2366.73","3203.33"
"[AKTIFCOCUK, ERKEK, COCUK, KADIN]","2020-08-01 00:00:00+01","1199.59","4402.92"
"[AKTIFCOCUK, ERKEK, COCUK, KADIN]","2020-09-01 00:00:00+01","1920.72","5487.04"
"[AKTIFCOCUK, ERKEK, COCUK, KADIN]","2020-10-01 00:00:00+01","5466.96","8587.27"
"[AKTIFCOCUK, ERKEK, COCUK, KADIN]","2020-11-01 00:00:00+00","7617.97","15005.65"
"[AKTIFCOCUK, ERKEK, COCUK, KADIN]","2020-12-01 00:00:00+00","10518.20","23603.13"
"[AKTIFCOCUK, ERKEK, COCUK, KADIN]","2021-01-01 00:00:00+00","8607.48","26743.65"
"[AKTIFCOCUK, ERKEK, COCUK, KADIN]","2021-02-01 00:00:00+00","7668.16","26793.84"
"[AKTIFCOCUK, ERKEK, COCUK, KADIN]","2021-03-01 00:00:00+00","15150.94","31426.58"
"[AKTIFCOCUK, ERKEK, COCUK, KADIN]","2021-04-01 00:00:00+01","24074.15","46893.25"
"[AKTIFCOCUK, ERKEK, COCUK, KADIN]","2021-05-01 00:00:00+01","48235.23","87460.32"
"[AKTIFCOCUK, ERKEK, COCUK]","2020-06-01 00:00:00+01","1441.96","1441.96"
"[AKTIFCOCUK, ERKEK, COCUK]","2020-08-01 00:00:00+01","1476.38","2918.34"
"[AKTIFCOCUK, ERKEK, COCUK]","2020-09-01 00:00:00+01","5232.24","8150.58"
"[AKTIFCOCUK, ERKEK, COCUK]","2020-10-01 00:00:00+01","8738.94","15447.56"
"[AKTIFCOCUK, ERKEK, COCUK]","2020-11-01 00:00:00+00","7648.31","21619.49"
"[AKTIFCOCUK, ERKEK, COCUK]","2020-12-01 00:00:00+00","5550.70","21937.95"
"[AKTIFCOCUK, ERKEK, COCUK]","2021-01-01 00:00:00+00","10420.67","23619.68"
"[AKTIFCOCUK, ERKEK, COCUK]","2021-02-01 00:00:00+00","16940.73","32912.10"
"[AKTIFCOCUK, ERKEK, COCUK]","2021-03-01 00:00:00+00","10171.00","37532.40"
