"master_id","days_between_orders"
"00cf8494-9da2-11e9-9897-000d3a38a36f",3034
"f546b86e-9ecc-11e9-9897-000d3a38a36f",3031
"7db2562e-9ec6-11e9-9897-000d3a38a36f",3028
"bd0c33ea-9dc1-11e9-9897-000d3a38a36f",3018
"1d033d3a-b090-11e9-9757-000d3a38a36f",3016
"cba59206-9dd1-11e9-9897-000d3a38a36f",2999
"2c41e072-9ec9-11e9-9897-000d3a38a36f",2993
"5e1f4944-9ef2-11e9-9897-000d3a38a36f",2987
"92a7498a-9d23-11e9-9897-000d3a38a36f",2983
"3b294f52-9d5d-11e9-9897-000d3a38a36f",2972
